attacker_model,victim_model,attack_method,num_rows,breach_rate_pct,impact_mean
ArcFace,Facenet512,MIG,30,33.33333333333333,0.28939574754874964
ArcFace,GhostFaceNet,MIG,30,36.666666666666664,0.14829283923820105
ArcFace,IR152,MIG,30,20.0,0.22593059552496325
ArcFace,VGG-Face,MIG,30,40.0,0.1720105516892795
Facenet512,ArcFace,MIG,30,60.0,0.24004420886691405
Facenet512,GhostFaceNet,MIG,30,46.666666666666664,0.15210329976252457
Facenet512,IR152,MIG,30,36.666666666666664,0.25056221146698904
Facenet512,VGG-Face,MIG,30,60.0,0.24362838026014588
GhostFaceNet,ArcFace,MIG,30,36.666666666666664,0.1456178302779989
GhostFaceNet,Facenet512,MIG,30,6.666666666666667,0.1631497087257419
GhostFaceNet,IR152,MIG,30,16.666666666666664,0.17047132109578475
GhostFaceNet,VGG-Face,MIG,30,20.0,0.1004076531221647
VGG-Face,ArcFace,MIG,30,50.0,0.23747361376826476
VGG-Face,Facenet512,MIG,30,53.333333333333336,0.4195240459094284
VGG-Face,GhostFaceNet,MIG,30,40.0,0.13796643963314328
VGG-Face,IR152,MIG,30,13.333333333333334,0.18984723963935668
